Campaign: GainFrame - Discovery Keywords (ID: 2143510307)
Ad Group: Automated (ID: 2147000076)
"Start Date: Mar 21, 2026"
"End Date: May 27, 2026"
Currency: USD
Time Zone: America/New_York
""

Search Term,Match Source,Keyword,Match Type,Ad Group ID,Ad Group Name,Default CPT Bid,Spend,Avg CPA (Total),Average CPT,Avg CPM,Avg Daily Spend,Impressions,Taps,Installs (Total),TTR,CR (Total),CR (Tap-Through),New Downloads (Total),Redownloads (Total),Installs (View-Through),Installs (Tap-Through),Avg CPA (Tap-Through),New Downloads (View-Through),Redownloads (View-Through),New Downloads (Tap-Through),Redownloads (Tap-Through),Pre-Orders Placed (Tap-Through),Pre-Orders Placed (View-Through),Pre-Orders Placed (Total)
"twerk","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","11","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"twin health","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","19","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"ufc gym","Search Match","","AUTO","2147000076","Automated","","1.62","0.00","0.81","","","49","2","0","0.0408","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"unive app","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","27","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"unive zorg","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","33","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"up2c","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","37","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"update fitness","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","11","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"uplift","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","10","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"venice gym","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","11","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"venty","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","28","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"vitality","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","54","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"vitamoment","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","11","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"viva-fitness","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","12","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"vivo","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","19","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"wagepoint","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","15","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"walk15","Search Match","","AUTO","2147000076","Automated","","1.21","1.21","1.21","","","11","1","1","0.0909","1.0","1.0","1","0","0","1","1.21","0","0","1","0","0","0","0"
"warehouse gym","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","16","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"wefit club","Search Match","","AUTO","2147000076","Automated","","1.28","0.00","1.28","","","81","1","0","0.0123","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"welcome fit","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","14","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"wigman","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","13","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"wimlow","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","13","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"wimova","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","13","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"wingman agent","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","17","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"winstamp","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","10","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"wodboard","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","46","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"wodify","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","29","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"wwoof","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","12","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"xf gym","Search Match","","AUTO","2147000076","Automated","","1.62","0.00","1.62","","","124","1","0","0.0081","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"y2k","Search Match","","AUTO","2147000076","Automated","","0.51","0.00","0.51","","","191","1","0","0.0052","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"ymca","Search Match","","AUTO","2147000076","Automated","","1.62","0.00","0.81","","","278","2","0","0.0072","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"ymca calgary","Search Match","","AUTO","2147000076","Automated","","1.10","0.00","1.10","","","92","1","0","0.0109","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"ymca charlotte nc","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","13","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"yoga fitness","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","28","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"your run","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","15","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"yoyo tricks","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","12","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"грани","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","11","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"мани мен","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","11","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"моя школа","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","15","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"спортмастер","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","10","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"три кота","Search Match","","AUTO","2147000076","Automated","","0.47","0.00","0.47","","","11","1","0","0.0909","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"фитнес хаус","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","11","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"шашлыкоff","Search Match","","AUTO","2147000076","Automated","","4.17","0.00","1.04","","","97","4","0","0.0412","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"بيور جيم","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","10","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"تطبيق طماطة","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","19","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"تعليم السياقة 2026","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","44","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"ريادة متدرب","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","20","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"رياده متدرب","Search Match","","AUTO","2147000076","Automated","","2.30","0.00","2.30","","","40","1","0","0.025","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"سياقتي 2026","Search Match","","AUTO","2147000076","Automated","","3.03","0.00","1.01","","","113","3","0","0.0265","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"طماطة","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","53","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"فلكسد – flexed","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","17","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"كود السياقة 2026","Search Match","","AUTO","2147000076","Automated","","2.21","0.00","1.10","","","11","2","0","0.1818","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"悦跑圈","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","10","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"辉立","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","12","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"锈湖","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","19","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"기리고","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","88","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"","","","","","","","2489.74","5.67","1.47","","","98893","1691","439","0.0171","0.2596","0.22","432","7","67","372","6.69","66","1","366","6","0","0","0"
