landingPagePlusQueryString	pageTitle	recent_sessions	prior_sessions	sessions_delta	recent_newUsers	prior_newUsers	newUsers_delta	recent_engagedSessions	prior_engagedSessions
/blog/body-fat-percentage-chart/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	6	3	3	0	0	0	5	3
/blog/body-fat-percentage-vs-bmi/	Body Fat % vs BMI: Which Number Actually Matters for Lifters? | GainFrame	4	1	3	4	1	3	0	0
/blog/body-recomposition-for-women/	Body Recomposition for Women: The Complete Guide | GainFrame	4	1	3	4	1	3	0	0
/blog/face-fat-and-body-fat/	Face Fat and Body Fat: Why Your Face Leans Out First | GainFrame	9	6	3	7	5	2	4	2
/blog/future-physique-ai-prediction/	Future Physique: See Where Your Body Is Headed | GainFrame	4	1	3	4	1	3	1	0
/blog/how-long-to-see-abs/	How Long Does It Take to See Abs? A Realistic Timeline | GainFrame	6	3	3	6	3	3	2	0
/blog/ios-app-playbook-2026/	Progress photos that explain what changed | GainFrame	6	3	3	0	0	0	5	3
/tools/	Fitness Comics — Gym, Nutrition & Training Myths Illustrated | GainFrame	4	1	3	0	0	0	1	1
/tools/	GainFrame Blog — AI Progress Photos, Body Composition & Training Tips | GainFrame	3	0	3	0	0	0	2	0
/tools/ai-body-transformation/	Free Body Fat Calculators — AI Photo Scan & Visualizer | GainFrame	3	0	3	0	0	0	2	0
/tools/body-fat-visualizer/	What Would I Look Like If I Lost Weight? Free AI Body Transformation | GainFrame	3	0	3	0	0	0	1	0
/tools/physique-rater/	5 AI Physique Rating Apps Tested (2026): Toy Scorers vs Real Assessment | GainFrame	3	0	3	0	0	0	2	0
	5 Best AI Body Editor Apps 2026 (+ the Honest Alternative) | GainFrame	2	0	2	0	0	0	0	0
	6 Best Body Fat Scanner Apps in 2026 (Tested & Ranked) | GainFrame	2	0	2	0	0	0	0	0
	6 Best Body Rating Apps in 2026 (Tested) | GainFrame	2	0	2	0	0	0	0	0
	7 Best Body Transformation Apps in 2026 (Ranked & Compared) | GainFrame	2	0	2	0	0	0	0	0
	Average Chest Size for Men: By Height, Training Level & What Counts as Big | GainFrame	2	0	2	0	0	0	0	0
	Body Fat % for a Visible Jawline (Men): Targets by Face Type | GainFrame	2	0	2	0	0	0	0	0
	Body Fat Percentage Chart: What 10–40% Actually Looks Like (Men & Women) | GainFrame	2	0	2	0	0	0	0	0
	DEXA Scan Alternative: 6 Options Ranked by Cost, Accuracy & Convenience | GainFrame	2	0	2	0	0	0	0	0
	GainFrame - The AI Body Composition App for Gym Goers	2	0	2	0	0	0	0	0
(not set)	8 Best Body Tracking Apps in 2026 (Every Type Compared) | GainFrame	2	0	2	0	0	0	1	0
(not set)	Average Chest Size for Men: By Height, Training Level & What Counts as Big | GainFrame	2	0	2	0	0	0	0	0
(not set)	Best AI Personal Trainer Apps in 2026 (and the App That Tracks If They're Actually Working) | GainFrame	3	1	2	0	0	0	0	0
(not set)	Fitness Comics — Gym, Nutrition & Training Myths Illustrated | GainFrame	2	0	2	0	0	0	0	0
(not set)	My First App Flopped. Here's How I Launched My Second One in 2 Months. | GainFrame	2	0	2	0	0	0	0	0
/	Calculadora de Gordura Corporal Gratuita com IA a partir de uma Foto | GainFrame	2	0	2	0	0	0	2	0
/	Como eu ficaria se emagrecesse? Transformação corporal gratuita com IA | GainFrame	2	0	2	0	0	0	2	0
/	変化を説明する経過写真 | GainFrame	2	0	2	0	0	0	2	0
/about/	Free AI Body Fat Estimator from a Photo | GainFrame	2	0	2	0	0	0	2	0
/blog/	Free Body Fat Calculators — AI Photo Scan & Visualizer | GainFrame	2	0	2	2	0	2	0	0
/blog/	The GainFrame Roadmap for the Next 90 Days | GainFrame	2	0	2	0	0	0	1	0
/blog/ai-body-editor-apps-vs-real-analysis/	5 AI Physique Rating Apps Tested (2026): Toy Scorers vs Real Assessment | GainFrame	2	0	2	0	0	0	2	0
/blog/average-chest-size/	Aesthetic Physique: The Body Fat % and Proportions That Create the Look | GainFrame	2	0	2	0	0	0	2	0
/blog/average-chest-size/	Average Bicep Size: By Height, Age & What Counts as Big | GainFrame	2	0	2	0	0	0	1	0
/blog/average-chest-size/	Average Waist Size for Men: By Age, Height & What It Means | GainFrame	2	0	2	0	0	0	2	0
/blog/average-chest-size/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	2	0	2	0	0	0	2	0
/blog/average-chest-size/	FFMI Calculator — Fat-Free Mass Index &amp; Natural Limit | GainFrame	2	0	2	0	0	0	2	0
/blog/average-chest-size/	Rate My Physique — Free AI Body Rater From One Photo | GainFrame	2	0	2	0	0	0	1	0
/blog/average-chest-size/	Shoulder to Waist Ratio: The V-Taper Math (and How to Actually Improve Yours) | GainFrame	2	0	2	0	0	0	2	0
/blog/average-waist-size-men/	How to Tell If You're Skinny Fat (And Why the Scale Can't) | GainFrame	2	0	2	0	0	0	2	0
/blog/best-ai-body-fat-apps/	Calculadora gratuita de grasa corporal con IA a partir de una foto | GainFrame	2	0	2	0	0	0	2	0
/blog/best-body-scanning-measurement-apps/	Best ZOZOFIT Alternatives in 2026: 6 Options Ranked | GainFrame	2	0	2	0	0	0	2	0
/blog/best-body-scanning-measurement-apps/?need_sec_link=1&sec_link_scene=im	6 Best Body Scanning & Measurement Apps in 2026 (Tested) | GainFrame	2	0	2	2	0	2	1	0
/blog/best-body-transformation-apps/	Free AI Body Fat Estimator from a Photo | GainFrame	7	5	2	0	0	0	7	5
/blog/best-body-transformation-apps/	Progress photos that explain what changed | GainFrame	11	9	2	0	0	0	11	9
/blog/best-fitness-apps-for-women/	10 Best Fitness Apps for Women in 2026 (By Goal) | GainFrame	3	1	2	3	1	2	0	0
/blog/best-inbody-alternatives/	Free AI Body Fat Estimator from a Photo | GainFrame	2	0	2	0	0	0	2	0
/blog/best-inbody-alternatives/	Progress photos that explain what changed | GainFrame	2	0	2	0	0	0	2	0
/blog/best-zozofit-alternatives/	Best ZOZOFIT Alternatives in 2026: 6 Options Ranked | GainFrame	9	7	2	9	6	3	2	4
/blog/body-composition-pictures/	Body Composition Pictures: Real Examples at Every Level | GainFrame	2	0	2	2	0	2	0	0
/blog/body-fat-percentage-chart/)	GainFrame - The AI Body Composition App for Gym Goers	2	0	2	2	0	2	0	0
/blog/body-transformation-tracker-apps/	Progress photos that explain what changed | GainFrame	3	1	2	0	0	0	3	1
/blog/chest-to-waist-ratio/	Average Chest Size for Men: By Height, Training Level & What Counts as Big | GainFrame	2	0	2	0	0	0	2	0
/blog/chest-to-waist-ratio/	Average Shoulder Width: What's Broad, What's Average & What You Can Change | GainFrame	2	0	2	0	0	0	2	0
/blog/chest-to-waist-ratio/	Shoulder to Waist Ratio: The V-Taper Math (and How to Actually Improve Yours) | GainFrame	2	0	2	0	0	0	2	0
/blog/dexa-scan-alternative/	Free AI Body Fat Estimator from a Photo | GainFrame	2	0	2	0	0	0	2	0
/blog/do-i-look-fat/	Do I Look Fat? An Honest Way to Actually Check | GainFrame	2	0	2	2	0	2	0	0
/blog/future-physique-ai-prediction/	Free AI Body Fat Estimator from a Photo | GainFrame	2	0	2	0	0	0	1	0
/blog/future-physique-ai-prediction/	What Would I Look Like If I Lost Weight? Free AI Body Transformation | GainFrame	2	0	2	0	0	0	1	0
/blog/how-accurate-are-body-fat-calculators/	How Accurate Are Body Fat Calculators? Method by Method | GainFrame	3	1	2	3	1	2	0	0
/blog/how-to-estimate-body-fat-from-photo/	How to Estimate Body Fat % from a Photo: Visual Markers + AI Method | GainFrame	5	3	2	5	3	2	1	0
/blog/how-to-take-body-measurements/	Average Shoulder Width: What's Broad, What's Average & What You Can Change | GainFrame	2	0	2	0	0	0	2	0
/blog/ideal-body-measurements-men/	Average Bicep Size: By Height, Age & What Counts as Big | GainFrame	2	0	2	0	0	0	2	0
/blog/ideal-body-measurements-men/	Average Chest Size for Men: By Height, Training Level & What Counts as Big | GainFrame	2	0	2	0	0	0	2	0
/blog/ios-app-playbook-2026/	Fitness Comics — Gym, Nutrition & Training Myths Illustrated | GainFrame	4	2	2	0	0	0	4	2
/blog/macrofactor-review/	MacroFactor Review (2026): The Nutrition App We Keep Recommending | GainFrame	3	1	2	3	1	2	1	0
/blog/natty-limit/	Average Bicep Size: By Height, Age & What Counts as Big | GainFrame	2	0	2	0	0	0	1	0
/blog/natty-limit/	Average Chest Size for Men: By Height, Training Level & What Counts as Big | GainFrame	2	0	2	0	0	0	2	0
/blog/personalized-ai-fitness-coach/	Personalized AI Fitness Coach: What 'Personalized' Should Actually Mean | GainFrame	2	0	2	2	0	2	0	0
/blog/progress-app-vs-gainframe/	Progress App vs GainFrame (2026): Which Tracker Fits Your Goal? | GainFrame	2	0	2	1	0	1	0	0
/blog/rate-my-physique/	Progress photos that explain what changed | GainFrame	2	0	2	0	0	0	2	0
/blog/ray-fitness-app-review/	Best AI Personal Trainer Apps in 2026 (and the App That Tracks If They're Actually Working) | GainFrame	2	0	2	0	0	0	2	0
/blog/should-i-bulk-or-cut-quiz/	Should I Bulk or Cut? A 2-Minute Self-Assessment | GainFrame	2	0	2	2	0	2	2	0
/blog/shoulder-to-waist-ratio/	Average Shoulder Width: What's Broad, What's Average & What You Can Change | GainFrame	2	0	2	0	0	0	1	0
/blog/spent-5k-on-app-ads/	How I Grew My App's Organic Traffic 15x in 90 Days | GainFrame	2	0	2	0	0	0	1	0
/blog/why-does-my-weight-fluctuate/	Why Does My Weight Fluctuate So Much Day to Day? | GainFrame	4	2	2	4	2	2	1	0
/comics/	Free Body Fat Calculators — AI Photo Scan & Visualizer | GainFrame	2	0	2	2	0	2	0	0
/comics/are-bcaas-a-scam/	Are BCAAs a Scam? — Fitness Comic | GainFrame	2	0	2	2	0	2	0	0
/comics/plateau-breaker/	Do This If You're Stalled — Fitness Comic | GainFrame	2	0	2	2	0	2	0	0
/comics/pre-lift-mistakes/	5 Habits Wrecking Your Lift — Fitness Comic | GainFrame	2	0	2	2	0	2	0	0
/comics/stop-guessing-body-fat/	Stop Guessing Your Body Fat — Fitness Comic | GainFrame	2	0	2	2	0	2	0	0
/comics/tools/	GainFrame - The AI Body Composition App for Gym Goers	2	0	2	2	0	2	0	0
/comics/year-1-vs-year-5/	Stop Comparing Your Year 1 to Their Year 5 — Fitness Comic | GainFrame	2	0	2	2	0	2	0	0
/tools/	Rate My Physique — Free AI Body Rater From One Photo | GainFrame	2	0	2	0	0	0	2	0
/tools/ai-body-transformation/	Fitness Comics — Gym, Nutrition & Training Myths Illustrated | GainFrame	2	0	2	0	0	0	1	0
/tools/body-fat-from-photo/	Best Body Fat Calculator from Photo: Why AI Beats Smart Scales | GainFrame	2	0	2	0	0	0	2	0
/tools/body-fat-visualizer/	5 Best AI Body Fat Estimator Apps in 2026 (Tested & Ranked) | GainFrame	2	0	2	1	0	1	0	0
/tools/body-fat-visualizer/	Free Body Fat Calculators — AI Photo Scan & Visualizer | GainFrame	2	0	2	1	0	1	0	0
/tools/body-fat-visualizer/	Progress photos that explain what changed | GainFrame	2	0	2	0	0	0	0	0
/tools/strength-standards-calculator/	Strength Standards Calculator — Am I Strong? | GainFrame	2	0	2	1	0	1	0	0
	5 AI Physique Rating Apps Tested (2026): Toy Scorers vs Real Assessment | GainFrame	1	0	1	0	0	0	0	0
	6 Best Body Composition Scales in 2026 (Ranked by What You Get) | GainFrame	1	0	1	0	0	0	0	0
	7 nejlepších aplikací pro transformaci těla v roce 2026 (hodnocení a srovnání) | GainFrame	1	0	1	0	0	0	0	0
	AI Body Fat Apps for Android: What Works in 2026 | GainFrame	1	0	1	0	0	0	0	0
	Are BCAAs a Scam? — Fitness Comic | GainFrame	1	0	1	0	0	0	0	0
	Average Shoulder Width: What's Broad, What's Average & What You Can Change | GainFrame	1	0	1	0	0	0	0	0
	Best Body Composition Apps for Tracking Progress (2026): Spren, GainFrame, ZOZOFIT & More | GainFrame	1	0	1	0	0	0	0	0
	Best Free Progress Photo Apps (2026): What Actually Works Without Paying | GainFrame	1	0	1	0	0	0	0	0
	Best WHOOP Alternatives for Lifters (2026): 5 Options Compared | GainFrame	1	0	1	0	0	0	0	0
	Best ZOZOFIT Alternatives in 2026: 6 Options Ranked | GainFrame	1	0	1	0	0	0	0	0
	Body Fat Percentage Chart for Women: Photos of Every Level | GainFrame	1	0	1	0	0	0	0	0
	Body Fat Percentage Quiz: Estimate Yours in 2 Minutes (No Photo) | GainFrame	1	0	1	0	0	0	0	0
	Chest-to-Waist Ratio: The Other V-Taper Number | GainFrame	1	0	1	0	0	0	0	0
	Cutting Without Counting Calories: What Actually Works | GainFrame	1	0	1	0	0	0	0	0
	Every Tool and System Behind My $944 MRR iOS App | GainFrame	1	0	1	0	0	0	0	0
	FFMI Chart: Where Do You Actually Fall? (Men & Women) | GainFrame	1	0	1	0	0	0	0	0
	GainFrame Is Live on the App Store | GainFrame	1	0	1	0	0	0	0	0
	GainFrame — Stop Guessing Your Body Fat	1	0	1	0	0	0	0	0
	Hevy vs Strong (2026): Which Workout Tracker Should You Use? | GainFrame	1	0	1	0	0	0	0	0
	How I Grew My App's Organic Traffic 15x in 90 Days | GainFrame	1	0	1	0	0	0	0	0
	How Long Does It Take to Lose Belly Fat? A Realistic Timeline | GainFrame	1	0	1	0	0	0	0	0
	Lean Mass vs Muscle Mass: What's the Difference (and Why It Matters for Lifters) | GainFrame	1	0	1	0	0	0	0	0
	Long Torso, Short Legs (or the Reverse): How to Tell & Why It Matters | GainFrame	1	0	1	0	0	0	0	0
	Natty Limit: How Big Can You Get Naturally? (With Real Numbers) | GainFrame	1	0	1	0	0	0	0	0
	Nejlepší bezplatné aplikace pro progress focení (2026): Co skutečně funguje bez placení | GainFrame	1	0	1	0	0	0	0	0
	Paid Ads Didn't Work, So I'm Trying Weirder Stuff: 3 Marketing Experiments | GainFrame	1	0	1	0	0	0	0	0
	Protein Isn't Magic — Fitness Comic | GainFrame	1	0	1	0	0	0	0	0
	Rate My Physique: How to Get an Honest Assessment | GainFrame	1	0	1	0	0	0	0	0
	Ray Fitness App Review (2026): The Voice AI Trainer, Tested | GainFrame	1	0	1	0	0	0	0	0
	The GainFrame Roadmap for the Next 90 Days | GainFrame	1	0	1	0	0	0	0	0
	Understanding Your AI Physique Score: What 1–100 Really Means | GainFrame	1	0	1	0	0	0	0	0
	Waist-to-Height Ratio: The Chart and Why It Beats BMI | GainFrame	1	0	1	0	0	0	0	0
	Why Do I Look Fat in Pictures (But Not the Mirror)? | GainFrame	1	0	1	0	0	0	0	0
	Why I Added In-App Chat to GainFrame | GainFrame	1	0	1	0	0	0	0	0
(not set)	10 Best Fitness Apps for Men in 2026 (By Goal) | GainFrame	1	0	1	0	0	0	1	0
(not set)	6 Best Body Composition Scales in 2026 (Ranked by What You Get) | GainFrame	1	0	1	0	0	0	1	0
(not set)	6 Best Body Rating Apps in 2026 (Tested) | GainFrame	1	0	1	0	0	0	1	0
(not set)	7 Best Free Body Fat Apps in 2026 (Actually Free) | GainFrame	1	0	1	0	0	0	0	0
(not set)	ACSM Resistance Training Guidelines (2025): Sets, Reps & Frequency Explained | GainFrame	1	0	1	0	0	0	0	0
(not set)	AI Physique Rater — Rate My Physique From a Photo, Free | GainFrame	1	0	1	0	0	0	0	0
