landingPagePlusQueryString	pageTitle	sessions	newUsers	engagedSessions	screenPageViews
/blog/	GainFrame Blog — AI Progress Photos, Body Composition & Training Tips | GainFrame	11	10	3	11
/blog/bulk-cut-or-recomp/	Bulk, Cut, or Recomp: Which Should You Actually Choose? | GainFrame	11	11	1	11
/blog/ffmi-chart/	FFMI Chart: Where Do You Actually Fall? (Men & Women) | GainFrame	10	10	3	10
/blog/how-to-estimate-body-fat-from-photo/	How to Estimate Body Fat % from a Photo: Visual Markers + AI Method | GainFrame	10	10	0	10
/tools/	Free AI Body Fat Estimator from a Photo | GainFrame	10	0	10	16
/about/	About GainFrame — The Progress Photo App Built by Someone Who Needed It | GainFrame	9	3	2	11
/blog/best-body-fat-calculator-from-photo/	Best Body Fat Calculator from Photo: Why AI Beats Smart Scales | GainFrame	9	8	3	9
/blog/best-free-progress-photo-apps/	Best Free Progress Photo Apps (2026): What Actually Works Without Paying | GainFrame	9	9	5	10
/blog/body-transformation-tracker-apps/	Best AI Body Transformation Apps (2026): 6 Trackers Tested & Ranked | GainFrame	9	9	2	10
/blog/dexa-scan-alternative/	DEXA Scan Alternative: 6 Options Ranked by Cost, Accuracy & Convenience | GainFrame	9	9	4	10
/blog/how-long-does-body-recomposition-take/	How Long Does Body Recomposition Take? A Realistic Timeline | GainFrame	9	8	3	9
/blog/body-fat-percentage-chart/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	8	0	8	12
/tools/macro-calculator/	Macro Calculator — Free Protein, Carb &amp; Fat Targets | GainFrame	8	6	3	8
/blog/ai-fitness-coach-vs-chatgpt/	AI Fitness Coach vs ChatGPT: When a Dedicated App Beats a General LLM (2026) | GainFrame	7	7	2	7
/blog/best-ai-body-fat-apps/	Free AI Body Fat Estimator from a Photo | GainFrame	7	0	7	9
/blog/best-apps-track-muscle-gain/	Best Apps to Track Muscle Gain (2026): Workout Logs + Visual Progress — Why You Need Both | GainFrame	7	7	1	8
/blog/best-fitness-app-stack-2026/	The Best Fitness App Stack for 2026: Strava, Hevy, GainFrame & CalAI | GainFrame	7	6	2	7
/blog/aesthetic-physique-body-fat-percentage/	Aesthetic Physique: The Body Fat % and Proportions That Create the Look | GainFrame	6	6	1	6
/blog/ai-body-fat-photo-accuracy-study/	GainFrame - The AI Body Composition App for Gym Goers	6	0	6	8
/blog/body-recomposition-tracker/	Body Recomposition Tracker: How to Know Your Recomp Is Actually Working | GainFrame	6	6	2	6
/blog/ai-physique-rating-apps/	5 AI Physique Rating Apps Tested (2026): Toy Scorers vs Real Assessment | GainFrame	5	5	0	5
/blog/natty-limit/	Natty Limit: How Big Can You Get Naturally? (With Real Numbers) | GainFrame	5	5	2	5
/blog/shoulder-to-waist-ratio/	Shoulder to Waist Ratio: The V-Taper Math (and How to Actually Improve Yours) | GainFrame	5	3	2	5
/blog/visceral-fat-appearance/	What Does Visceral Fat Look Like? How to Tell If You Have It | GainFrame	5	5	1	5
/blog/why-body-fat-score-wrong/	Why Your Body Fat Score Is Wrong (It Might Not Be Your Body) | GainFrame	5	5	0	5
/?ref=selectedsite	GainFrame - The AI Body Composition App for Gym Goers	4	4	0	4
/blog/ai-body-fat-photo-accuracy-study/	Free Fitness Calculators — Body Fat, TDEE & Macros | GainFrame	4	0	4	6
/blog/ai-fitness-coach-strava-integration/	AI Fitness Coach with Strava Integration: A Real Walkthrough (2026) | GainFrame	4	1	2	4
/blog/best-ai-body-fat-apps/	Free Fitness Calculators — Body Fat, TDEE & Macros | GainFrame	4	0	4	5
/blog/best-apps-track-weight-loss-ozempic/	Best Apps to Track Weight Loss on Ozempic in 2026 (Beyond Just the Scale) | GainFrame	4	4	0	4
/blog/body-composition-for-lifters/	Body Composition for Lifters: BMI, FFMI, Lean Mass, and Body Fat % Explained | GainFrame	4	4	0	4
/blog/body-fat-from-photo-app/	How to Calculate Body Fat from a Photo using AI | GainFrame	4	4	0	4
/blog/body-fat-visible-jawline-men/	Body Fat % for a Visible Jawline (Men): Targets by Face Type | GainFrame	4	4	0	4
/blog/future-physique-ai-prediction/	Future Physique: See Where Your Body Is Headed | GainFrame	4	4	0	4
/blog/take-progress-photos-by-yourself/	How to Take Progress Photos By Yourself: 5-Minute Setup (No Tripod Required) | GainFrame	4	4	0	4
/blog/visceral-fat-vs-subcutaneous-fat/	Visceral Fat vs Subcutaneous Fat: What's the Difference (and Which One Should You Actually Worry About)? | GainFrame	4	4	0	4
/tools/	GainFrame - The AI Body Composition App for Gym Goers	4	0	3	10
/tools/ffmi-calculator/	FFMI Calculator — Fat-Free Mass Index &amp; Natural Limit | GainFrame	4	4	0	4
/blog/ai-body-fat-photo-accuracy-study/	Body Fat Percentage Calculator — Free Estimate | GainFrame	3	0	3	4
/blog/lean-mass-vs-muscle-mass/	Lean Mass vs Muscle Mass: What's the Difference (and Why It Matters for Lifters) | GainFrame	3	3	2	3
/blog/metamorph-vs-gainframe/	Metamorph vs GainFrame: Which Progress Photo App Wins for Serious Lifters in 2026? | GainFrame	3	2	0	3
/blog/two-months-launching-second-app/	My First App Flopped. Here's How I Launched My Second One in 2 Months. | GainFrame	3	3	2	4
/blog/what-is-ffmi/	What Is FFMI? The Body Composition Metric That Actually Works for Lifters | GainFrame	3	3	0	3
/comics/	GainFrame Comics — Science-Backed Gym Tips & Fitness Education | GainFrame	3	2	1	3
/tools/body-fat-from-photo/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	3	0	3	6
(not set)	5 Best AI Body Fat Apps in 2026 (Tested & Ranked) | GainFrame	2	0	0	0
(not set)	ACSM Resistance Training Guidelines (2025): Sets, Reps & Frequency Explained | GainFrame	2	0	1	0
(not set)	Is AI Body Fat Analysis Accurate? A 2025 Study Says Yes | GainFrame	2	0	0	0
/	5 Best AI Body Fat Apps in 2026 (Tested & Ranked) | GainFrame	2	0	2	3
/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	2	0	2	3
/	GainFrame: la aplicación de composición corporal con IA para quienes van al gimnasio.	2	0	2	0
/	Progress Photo Setup Tool — Perfect Your Gym Photos | GainFrame	2	0	2	2
/	Which App Has the Best Before-and-After Transformations for Men? | GainFrame	2	0	2	2
/blog/5-tips-better-progress-photos/	The Complete Guide to Progress Photos That Actually Track Change | GainFrame	2	2	0	2
/blog/ai-body-fat-photo-accuracy-study/	5 Best AI Body Fat Apps in 2026 (Tested & Ranked) | GainFrame	2	0	2	2
/blog/ai-body-fat-photo-accuracy-study/	About GainFrame — The Progress Photo App Built by Someone Who Needed It | GainFrame	2	0	2	2
/blog/ai-body-fat-photo-accuracy-study/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	2	0	2	3
/blog/ai-fitness-coach-strava-integration/	About GainFrame — The Progress Photo App Built by Someone Who Needed It | GainFrame	2	0	2	2
/blog/ai-fitness-coach-strava-integration/	GainFrame - The AI Body Composition App for Gym Goers	2	0	2	3
/blog/behind-the-prediction-future-physique/	Behind the Prediction: How GainFrame Calculates Your Future Physique | GainFrame	2	2	0	2
/blog/best-ai-body-composition-app/	Body Fat Percentage Calculator — Free Estimate | GainFrame	2	0	2	2
/blog/best-ai-body-composition-app/	Free AI Body Fat Estimator from a Photo | GainFrame	2	0	2	6
/blog/best-ai-body-fat-apps/	About GainFrame — The Progress Photo App Built by Someone Who Needed It | GainFrame	2	0	2	2
/blog/best-ai-body-fat-apps/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	2	0	2	2
/blog/best-before-after-transformations-men/	Which App Has the Best Before-and-After Transformations for Men? | GainFrame	2	2	2	2
/blog/chatgpt-workout-plan/	How to Use ChatGPT for a Workout Plan in 2026 (and How to Tell If It's Actually Working) | GainFrame	2	2	1	2
/blog/gainframe-vs-fitbod-ray-gymstreak/	GainFrame Coach vs Fitbod vs Ray vs GymStreak (2026 Comparison) | GainFrame	2	2	0	2
/blog/how-to-take-progress-photos-weight-loss/	How to Take Progress Photos for Weight Loss (and Why They Beat the Scale) | GainFrame	2	2	0	2
/blog/how-to-track-muscle-gain-progress/	How to Track Muscle Gain Progress: 5 Methods Ranked (Photos, Measurements, DEXA & AI) | GainFrame	2	2	1	2
/blog/is-your-lean-bulk-working/	How to Tell If You're Skinny Fat (And Why the Scale Can't) | GainFrame	2	0	2	2
/blog/is-your-lean-bulk-working/	Is Your Lean Bulk Working? How to Tell If You're Gaining Muscle or Fat | GainFrame	2	0	2	3
/blog/skinny-fat-to-muscular/	Skinny Fat to Muscular: The Recomp Playbook (and How to Track It) | GainFrame	2	2	1	2
/privacy/	GainFrame — Privacy Policy	2	2	2	3
/tools/	About GainFrame — The Progress Photo App Built by Someone Who Needed It | GainFrame	2	0	2	6
/tools/	Body Fat Percentage Calculator — Free Estimate | GainFrame	2	0	2	2
/tools/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	2	0	2	6
/tools/body-fat-from-photo/	FFMI Calculator — Fat-Free Mass Index &amp; Natural Limit | GainFrame	2	0	2	2
/tools/body-fat-from-photo/	GainFrame - The AI Body Composition App for Gym Goers	2	0	2	2
/tools/body-fat-from-photo/	Is AI Body Fat Analysis Accurate? A 2025 Study Says Yes | GainFrame	2	0	2	3
/tools/macro-calculator/	Free Fitness Calculators — Body Fat, TDEE & Macros | GainFrame	2	0	2	2
(not set)	7 Best Body Transformation Apps in 2026 (Ranked & Compared) | GainFrame	1	0	0	0
(not set)	About GainFrame — The Progress Photo App Built by Someone Who Needed It | GainFrame	1	0	0	0
(not set)	Best AI Fitness Apps That Track Your Body in 2026 (Not Just Your Workout) | GainFrame	1	0	0	0
(not set)	Best AI Personal Trainer Apps in 2026 (and the App That Tracks If They're Actually Working) | GainFrame	1	0	0	0
(not set)	Best Body Composition Apps for Tracking Progress (2026): Spren, GainFrame, ZOZOFIT & More | GainFrame	1	0	0	0
(not set)	Body Fat Percentage Chart with Photos: Visual Guide for Men & Women | GainFrame	1	0	0	0
(not set)	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	1	0	0	0
(not set)	Body Recomposition Tracker: How to Know Your Recomp Is Actually Working | GainFrame	1	0	0	0
(not set)	Bulk, Cut, or Recomp: Which Should You Actually Choose? | GainFrame	1	0	0	0
(not set)	Free Fitness Calculators — Body Fat, TDEE & Macros | GainFrame	1	0	0	0
(not set)	GainFrame for Trainers — AI Body Scans Your Clients Will Trust	1	0	0	0
(not set)	GainFrame——专为健身爱好者打造的AI体型应用	1	0	0	0
(not set)	How to Tell If You're Skinny Fat (And Why the Scale Can't) | GainFrame	1	0	0	0
(not set)	How to Test for Visceral Fat: Every Method Ranked | GainFrame	1	0	1	0
(not set)	My First App Flopped. Here's How I Launched My Second One in 2 Months. | GainFrame	1	0	0	0
(not set)	Shoulder to Waist Ratio: The V-Taper Math (and How to Actually Improve Yours) | GainFrame	1	0	0	0
(not set)	Signs You're Building Muscle (Before You Can See It in the Mirror) | GainFrame	1	0	0	0
(not set)	What Does Visceral Fat Look Like? How to Tell If You Have It | GainFrame	1	0	0	0
/	(not set)	1	0	1	0
/	6 Best Body Fat Scanner Apps in 2026 (Tested & Ranked) | GainFrame	1	0	1	1
/	ACSM Resistance Training Guidelines (2025): Sets, Reps & Frequency Explained | GainFrame	1	0	1	1
/	AI Fitness Analysis: What It Is and What It Should Tell You | GainFrame	1	0	1	1
/	AI Fitness Coach vs ChatGPT: When a Dedicated App Beats a General LLM (2026) | GainFrame	1	0	1	1
/	AI Fitness Coach with Strava Integration: A Real Walkthrough (2026) | GainFrame	1	0	1	1
/	Aesthetic Physique: The Body Fat % and Proportions That Create the Look | GainFrame	1	0	1	1
/	Best AI Personal Trainer Apps in 2026 (and the App That Tracks If They're Actually Working) | GainFrame	1	0	1	1
/	Best Before-and-After Transformation Apps for Women (2026) | GainFrame	1	0	1	1
/	Calories Burned Calculator — 240+ Activities | GainFrame	1	0	1	1
/	Future Physique: See Where Your Body Is Headed | GainFrame	1	0	1	1
/	GainFrame - L'application de composition corporelle AI pour les adopteurs de gym	1	0	1	0
/	GainFrame - O aplicativo de IA para composição corporal ideal para frequentadores de academia.	1	0	1	0
/	GainFrame - تطبيق الذكاء الاصطناعي لتحليل تكوين الجسم لرواد الصالات الرياضية	1	0	1	0
/	GainFrame Coach vs Fitbod vs Ray vs GymStreak (2026 Comparison) | GainFrame	1	0	1	3
/	GainFrame Comics — Научно обоснованные советы для спортзала и обучение фитнесу | GainFrame	1	0	1	2
/	GainFrame — приложение для анализа состава тела с помощью искусственного интеллекта для посетителей спортзалов.	1	0	1	3
/	Kostenlose Fitness-Rechner – Körperfett, Gesamtenergieverbrauch & Makronährstoffe | GainFrame	1	0	1	2
/	Kostenloser KI-Körperfett-Schätzer anhand eines Fotos | GainFrame	1	0	1	0
/	Metamorph vs GainFrame: Which Progress Photo App Wins for Serious Lifters in 2026? | GainFrame	1	0	1	1
/	Strength Standards Calculator — Am I Strong? | GainFrame	1	0	1	1
/	TDEE Calculator — Free Daily Calorie Estimate | GainFrame	1	0	1	1
/	Tool zur Einrichtung von Fortschrittsfotos – Perfektioniere deine Fitnessstudio-Fotos | GainFrame	1	0	1	0
/?ref=ainave	GainFrame - The AI Body Composition App for Gym Goers	1	1	0	1
/about/	GainFrame - The AI Body Composition App for Gym Goers	1	0	1	1
/blog/	Best AI Body Scan & Body Composition App in 2026: Full Comparison | GainFrame	1	0	1	1
/blog/	Free AI Body Fat Estimator from a Photo | GainFrame	1	0	1	1
/blog/	Free Fitness Calculators — Body Fat, TDEE & Macros | GainFrame	1	0	1	1
/blog/	Personalized AI Fitness Coach: What 'Personalized' Should Actually Mean | GainFrame	1	0	1	2
/blog/ai-body-editor-apps-vs-real-analysis/	Best AI Fitness Apps That Track Your Body in 2026 (Not Just Your Workout) | GainFrame	1	0	1	1
/blog/ai-body-editor-apps-vs-real-analysis/	أفضل 5 تطبيقات لتعديل الجسم بالذكاء الاصطناعي لعام 2026 (بالإضافة إلى البديل الأصيل) | GainFrame	1	0	1	1
/blog/ai-body-editor-apps-vs-real-analysis/?hl=pt-PT	5 Best AI Body Editor Apps 2026 (+ the Honest Alternative) | GainFrame	1	1	1	1
/blog/ai-body-fat-photo-accuracy-study/	DEXA Scan Alternative: 6 Options Ranked by Cost, Accuracy & Convenience | GainFrame	1	0	1	1
/blog/ai-body-fat-photo-accuracy-study/	FFMI Calculator — Fat-Free Mass Index &amp; Natural Limit | GainFrame	1	0	1	2
/blog/ai-body-fat-photo-accuracy-study/	GainFrame Comics — Science-Backed Gym Tips & Fitness Education | GainFrame	1	0	1	3
/blog/ai-body-fat-photo-accuracy-study/	Metamorph vs GainFrame: Which Progress Photo App Wins for Serious Lifters in 2026? | GainFrame	1	0	1	1
/blog/ai-fitness-coach-strava-integration/	6 Best Body Fat Scanner Apps in 2026 (Tested & Ranked) | GainFrame	1	0	1	1
/blog/ai-fitness-coach-strava-integration/	GainFrame Blog — AI Progress Photos, Body Composition & Training Tips | GainFrame	1	0	1	1
/blog/best-ai-body-composition-app/	5 Best AI Body Fat Apps in 2026 (Tested & Ranked) | GainFrame	1	0	1	1
/blog/best-ai-body-composition-app/	Best Ways to Measure Body Fat in 2026 (Accuracy Comparison) | GainFrame	1	0	1	1
/blog/best-ai-body-composition-app/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	1	0	1	4
/blog/best-ai-body-composition-app/	DEXA Scan Alternative: 6 Options Ranked by Cost, Accuracy & Convenience | GainFrame	1	0	1	1
/blog/best-ai-body-composition-app/	FFMI Calculator — Fat-Free Mass Index &amp; Natural Limit | GainFrame	1	0	1	1
/blog/best-ai-body-composition-app/	Free Fitness Calculators — Body Fat, TDEE & Macros | GainFrame	1	0	1	1
/blog/best-ai-body-composition-app/	GainFrame - The AI Body Composition App for Gym Goers	1	0	1	1
/blog/best-ai-body-composition-app/	How to Calculate Body Fat from a Photo using AI | GainFrame	1	0	1	1
/blog/best-ai-body-composition-app/	How to Test for Visceral Fat: Every Method Ranked | GainFrame	1	0	1	1
/blog/best-ai-body-composition-app/	I Compared My AI Body Scan to a $150 DEXA Scan — Here's How Close It Got | GainFrame	1	0	1	1
/blog/best-ai-body-fat-apps/	Best Body Composition Apps for Tracking Progress (2026): Spren, GainFrame, ZOZOFIT & More | GainFrame	1	0	1	2
/blog/best-ai-body-fat-apps/	Best Body Fat Calculator from Photo: Why AI Beats Smart Scales | GainFrame	1	0	1	1
/blog/best-ai-body-fat-apps/	Body Fat Percentage Calculator — Free Estimate | GainFrame	1	0	1	1
/blog/best-ai-body-fat-apps/	Metamorph vs GainFrame: Which Progress Photo App Wins for Serious Lifters in 2026? | GainFrame	1	0	1	1
/blog/best-before-after-transformation-apps-women/	Best Before-and-After Transformation Apps for Women (2026) | GainFrame	1	1	1	1
/blog/best-before-after-transformations-men/	7 Best Body Transformation Apps in 2026 (Ranked & Compared) | GainFrame	1	0	1	1
/blog/best-before-after-transformations-men/	GainFrame - The AI Body Composition App for Gym Goers	1	0	1	1
/blog/best-body-composition-apps/	7 Best Body Transformation Apps in 2026 (Ranked & Compared) | GainFrame	1	0	1	1
/blog/best-body-composition-apps/	GainFrame - The AI Body Composition App for Gym Goers	1	0	1	1
/blog/best-body-transformation-apps/	5 Best AI Body Fat Apps in 2026 (Tested & Ranked) | GainFrame	1	0	1	1
/blog/best-body-transformation-apps/	Free AI Body Fat Estimator from a Photo | GainFrame	1	0	1	4
/blog/best-body-transformation-apps/	Free Fitness Calculators — Body Fat, TDEE & Macros | GainFrame	1	0	1	3
/blog/best-body-transformation-apps/	GainFrame Comics — Science-Backed Gym Tips & Fitness Education | GainFrame	1	0	1	1
/blog/best-progress-photo-apps/	GainFrame - The AI Body Composition App for Gym Goers	1	0	1	1
/blog/best-progress-photo-apps/	The Complete Guide to Progress Photos That Actually Track Change | GainFrame	1	0	1	1
/blog/body-fat-percentage-chart/	Free AI Body Fat Estimator from a Photo | GainFrame	1	0	1	3
/blog/body-fat-percentage-chart/	Free Fitness Calculators — Body Fat, TDEE & Macros | GainFrame	1	0	1	2
/blog/body-fat-percentage-chart/	GainFrame - The AI Body Composition App for Gym Goers	1	0	1	1
/blog/body-fat-percentage-chart/	Таблица процента жира в организме с фотографиями: визуальное руководство для мужчин и женщин | GainFrame	1	0	1	0
/blog/body-fat-percentage-chart/	体脂率图表（附图）：男女通用视觉指南 | GainFrame	1	0	1	0
/blog/body-fat-percentage-vs-bmi/	Body Fat % vs BMI: Which Number Actually Matters for Lifters? | GainFrame	1	1	0	1
/blog/body-recomposition-tracker/?b_a0f1ce00c8f3ffe789cd7d34b_c2f1ecc6f0=&EMAIL=	Body Recomposition Tracker: How to Know Your Recomp Is Actually Working | GainFrame	1	1	0	1
/blog/body-transformation-tracker-apps/	GainFrame - The AI Body Composition App for Gym Goers	1	0	1	1
/blog/dexa-scan-vs-ai-body-composition/	I Compared My AI Body Scan to a $150 DEXA Scan — Here's How Close It Got | GainFrame	1	1	1	1
/blog/gainframe-coach/	Meet Coach: The AI Fitness Coach That Already Knows Your Numbers | GainFrame	1	1	1	1
/blog/generative-engine-optimization-case-study/	ChatGPT Sends Us 31% of Our Users — Here's the Generative Engine Optimization Playbook We Used | GainFrame	1	1	0	1
/blog/hevy-app-gainframe-integration/	GainFrame + Hevy: The Ultimate Physique Tracking Stack | GainFrame	1	1	1	1
/blog/hevy-app-gainframe-integration/	GainFrame - The AI Body Composition App for Gym Goers	1	0	1	1
/blog/how-long-to-see-results-from-lifting/	How Long to See Results from Lifting: A Realistic Timeline | GainFrame	1	1	1	1
/blog/how-often-progress-photos/	How Often Should You Take Progress Photos? (Science-Backed Answer) | GainFrame	1	1	1	1
/blog/is-your-lean-bulk-working/	AI Fitness Coach with Strava Integration: A Real Walkthrough (2026) | GainFrame	1	0	1	1
/blog/is-your-lean-bulk-working/	GainFrame Blog — AI Progress Photos, Body Composition & Training Tips | GainFrame	1	0	1	2
/blog/is-your-lean-bulk-working/	Skinny Fat to Muscular: The Recomp Playbook (and How to Track It) | GainFrame	1	0	1	1
/blog/ozempic-before-and-after-photos-men/	Ozempic Before-and-After Photos for Men: How to Take Them So Yours Actually Show Progress | GainFrame	1	1	1	1
/blog/personalized-ai-fitness-coach/	Personalized AI Fitness Coach: What 'Personalized' Should Actually Mean | GainFrame	1	0	0	1
/blog/resistance-training-guidelines/	About GainFrame — The Progress Photo App Built by Someone Who Needed It | GainFrame	1	0	1	1
/blog/resistance-training-guidelines/	Diretrizes de Treinamento de Resistência da ACSM (2025): Séries, Repetições e Frequência Explicadas | GainFrame	1	0	1	0
/blog/shoulder-to-waist-ratio/	Aesthetic Physique: The Body Fat % and Proportions That Create the Look | GainFrame	1	0	1	1
/blog/shoulder-to-waist-ratio/	How Long to See Results from Lifting: A Realistic Timeline | GainFrame	1	0	1	1
/blog/shoulder-to-waist-ratio/	Signs You're Building Muscle (Before You Can See It in the Mirror) | GainFrame	1	0	1	1
/blog/signs-you-are-building-muscle/	Signs You're Building Muscle (Before You Can See It in the Mirror) | GainFrame	1	1	1	1
/blog/skinny-fat-to-muscular/	How to Tell If You're Skinny Fat (And Why the Scale Can't) | GainFrame	1	0	1	2
/blog/skinny-fat-to-muscular/	Metamorph vs GainFrame: Which Progress Photo App Wins for Serious Lifters in 2026? | GainFrame	1	0	1	1
/blog/the-velocity-advantage/	I Built a Site in 50 Minutes. 19,000 People Showed Up the Same Day. | GainFrame	1	1	0	1
/blog/timeline-tracking-guide/	Timeline Tracking Guide: Visualize Your Progress Over Time | GainFrame	1	1	0	1
/blog/track-body-composition-ozempic/	How to Track Body Composition on Ozempic (Beyond Just Weight on the Scale) | GainFrame	1	1	0	1
/blog/trackbod-vs-gainframe/	trackBod Review 2026: Is It Worth It? (Honest Comparison with GainFrame) | GainFrame	1	1	0	1
/blog/understanding-ai-physique-score/	Understanding Your AI Physique Score: What 1–100 Really Means | GainFrame	1	1	0	1
/blog/visceral-fat-app/	About GainFrame — The Progress Photo App Built by Someone Who Needed It | GainFrame	1	0	1	1
/blog/visceral-fat-app/	GainFrame - The AI Body Composition App for Gym Goers	1	0	1	1
/body-fat-estimator	404: This page could not be found.	1	1	0	1
/comics/	Free Fitness Calculators — Body Fat, TDEE & Macros | GainFrame	1	0	1	1
/comics/	GainFrame - The AI Body Composition App for Gym Goers	1	0	1	2
/every-way-to-measure-body-fat	404: This page could not be found.	1	1	0	1
/how-often-take-progress-photos	404: This page could not be found.	1	1	0	1
/ozempic-before-and-after-photos-men	404: This page could not be found.	1	1	0	1
/privacy/	Body Fat Percentage Calculator — Free Estimate | GainFrame	1	0	1	1
/privacy/	Free Fitness Calculators — Body Fat, TDEE & Macros | GainFrame	1	0	1	1
/stop-weighing-yourself-daily	404: This page could not be found.	1	1	0	1
/tools/	6 Best Body Fat Scanner Apps in 2026 (Tested & Ranked) | GainFrame	1	0	1	1
/tools/	Aesthetic Physique: The Body Fat % and Proportions That Create the Look | GainFrame	1	0	1	3
/tools/	Calculadora de Gordura Corporal Gratuita com IA a partir de uma Foto | GainFrame	1	0	1	0
/tools/	Calculadora de Percentual de Gordura Corporal — Estimativa Gratuita | GainFrame	1	0	1	0
/tools/	Calculadoras de Fitness Gratuitas — Gordura Corporal, Gasto Energético Total Diário (TDEE) e Macronutrientes | GainFrame	1	0	1	1
/tools/	Calories Burned Calculator — 240+ Activities | GainFrame	1	0	1	6
/tools/	FFMI Calculator — Fat-Free Mass Index &amp; Natural Limit | GainFrame	1	0	1	2
/tools/	GainFrame Blog — AI Progress Photos, Body Composition & Training Tips | GainFrame	1	0	1	5
/tools/	Macro Calculator — Free Protein, Carb &amp; Fat Targets | GainFrame	1	0	1	1
/tools/	Progress Photo Setup Tool — Perfect Your Gym Photos | GainFrame	1	0	1	1
/tools/	Strength Standards Calculator — Am I Strong? | GainFrame	1	0	1	5
/tools/	TDEE Calculator — Free Daily Calorie Estimate | GainFrame	1	0	1	1
/tools/body-fat-calculator	GainFrame - The AI Body Composition App for Gym Goers	1	1	0	1
/tools/body-fat-from-photo/	404: This page could not be found.	1	0	1	1
/tools/body-fat-from-photo/	Best Body Fat Calculator from Photo: Why AI Beats Smart Scales | GainFrame	1	0	1	1
/tools/body-fat-from-photo/	Body Fat Percentage Calculator — Free Estimate | GainFrame	1	0	1	1
/tools/body-fat-from-photo/	Free Fitness Calculators — Body Fat, TDEE & Macros | GainFrame	1	0	1	1
